Category: Homemaking & Interior Decor,
,
Week,Geo: England
10/7/2018,64
10/14/2018,67
10/21/2018,67
10/28/2018,71
11/4/2018,71
11/11/2018,70
11/18/2018,74
11/25/2018,76
12/2/2018,70
12/9/2018,66
12/16/2018,60
12/23/2018,56
12/30/2018,70
1/6/2019,66
1/13/2019,71
1/20/2019,66
1/27/2019,69
2/3/2019,70
2/10/2019,63
2/17/2019,65
2/24/2019,63
3/3/2019,75
3/10/2019,64
3/17/2019,63
3/24/2019,63
3/31/2019,58
4/7/2019,64
4/14/2019,56
4/21/2019,56
4/28/2019,59
5/5/2019,59
5/12/2019,53
5/19/2019,56
5/26/2019,61
6/2/2019,57
6/9/2019,59
6/16/2019,52
6/23/2019,54
6/30/2019,55
7/7/2019,55
7/14/2019,55
7/21/2019,55
7/28/2019,59
8/4/2019,63
8/11/2019,62
8/18/2019,57
8/25/2019,58
9/1/2019,62
9/8/2019,59
9/15/2019,61
9/22/2019,60
9/29/2019,66
10/6/2019,70
10/13/2019,70
10/20/2019,70
10/27/2019,72
11/3/2019,73
11/10/2019,74
11/17/2019,77
11/24/2019,80
12/1/2019,73
12/8/2019,67
12/15/2019,62
12/22/2019,63
12/29/2019,73
1/5/2020,68
1/12/2020,69
1/19/2020,67
1/26/2020,66
2/2/2020,66
2/9/2020,65
2/16/2020,69
2/23/2020,64
3/1/2020,65
3/8/2020,60
3/15/2020,45
3/22/2020,45
3/29/2020,59
4/5/2020,57
4/12/2020,66
4/19/2020,67
4/26/2020,75
5/3/2020,76
5/10/2020,79
5/17/2020,81
5/24/2020,76
5/31/2020,83
6/7/2020,88
6/14/2020,84
6/21/2020,77
6/28/2020,90
7/5/2020,86
7/12/2020,82
7/19/2020,77
7/26/2020,79
8/2/2020,80
8/9/2020,68
8/16/2020,78
8/23/2020,78
8/30/2020,74
9/6/2020,73
9/13/2020,68
9/20/2020,72
9/27/2020,85
10/4/2020,80
10/11/2020,81
10/18/2020,85
10/25/2020,88
11/1/2020,80
11/8/2020,96
11/15/2020,100
11/22/2020,99
11/29/2020,92
12/6/2020,83
12/13/2020,74
12/20/2020,62
12/27/2020,86
1/3/2021,81
1/10/2021,81
1/17/2021,91
1/24/2021,92
1/31/2021,96
2/7/2021,89
2/14/2021,98
2/21/2021,87
2/28/2021,86
3/7/2021,80
3/14/2021,78
3/21/2021,85
3/28/2021,75
4/4/2021,73
4/11/2021,69
4/18/2021,63
4/25/2021,69
5/2/2021,75
5/9/2021,70
5/16/2021,69
5/23/2021,62
5/30/2021,54
6/6/2021,56
6/13/2021,55
6/20/2021,58
6/27/2021,61
7/4/2021,63
7/11/2021,54
7/18/2021,53
7/25/2021,61
8/1/2021,61
8/8/2021,63
8/15/2021,63
8/22/2021,61
8/29/2021,64
9/5/2021,59
9/12/2021,64
9/19/2021,59
9/26/2021,64
10/3/2021,68
10/10/2021,66
10/17/2021,65
10/24/2021,66
10/31/2021,69
11/7/2021,70
11/14/2021,71
11/21/2021,75
11/28/2021,73
12/5/2021,72
12/12/2021,61
12/19/2021,53
12/26/2021,69
1/2/2022,71
1/9/2022,64
1/16/2022,59
1/23/2022,63
1/30/2022,63
2/6/2022,61
2/13/2022,58
2/20/2022,55
2/27/2022,54
3/6/2022,53
3/13/2022,53
3/20/2022,49
3/27/2022,49
4/3/2022,51
4/10/2022,48
4/17/2022,48
4/24/2022,48
5/1/2022,51
5/8/2022,45
5/15/2022,44
5/22/2022,46
5/29/2022,45
6/5/2022,44
6/12/2022,44
6/19/2022,43
6/26/2022,47
7/3/2022,47
7/10/2022,42
7/17/2022,44
7/24/2022,47
7/31/2022,47
8/7/2022,44
8/14/2022,51
8/21/2022,50
8/28/2022,50
9/4/2022,49
9/11/2022,47
9/18/2022,53
9/25/2022,55
10/2/2022,55
10/9/2022,54
10/16/2022,52
10/23/2022,55
10/30/2022,55
11/6/2022,56
11/13/2022,59
11/20/2022,57
11/27/2022,56
12/4/2022,56
12/11/2022,52
12/18/2022,47
12/25/2022,54
1/1/2023,60
1/8/2023,57
1/15/2023,55
1/22/2023,54
1/29/2023,53
2/5/2023,53
2/12/2023,52
2/19/2023,51
2/26/2023,52
3/5/2023,51
3/12/2023,51
3/19/2023,48
3/26/2023,47
4/2/2023,50
4/9/2023,49
4/16/2023,45
4/23/2023,47
4/30/2023,46
5/7/2023,46
5/14/2023,40
5/21/2023,40
5/28/2023,43
6/4/2023,42
6/11/2023,41
6/18/2023,44
6/25/2023,44
7/2/2023,47
7/9/2023,48
7/16/2023,47
7/23/2023,51
7/30/2023,58
8/6/2023,51
8/13/2023,48
8/20/2023,48
8/27/2023,50
9/3/2023,43
9/10/2023,45
9/17/2023,51
9/24/2023,49
10/1/2023,53
